id,department,assignment_name,course,points_possible,assignment_id,unlock_at,lock_at,due_at,url,needs_grading_count,published,anonymous_grading,active,graded,ungraded,pc_graded,not_submitted,quiz,sas_exam,average_score,type,has_overrides,posted_at,rollover_to_course,previous_term_assignment,assignment_type,rubric_title
706830,School of Life Sciences,RESIT LIFE314.0.2 (60%) - Cycle 2 Question 2,LIFE314-202324,,276476,2024-05-03 11:00:00+00:00,2024-08-23 12:00:00+00:00,2024-08-21 12:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67689/assignments/276476,0,FALSE,TRUE,TRUE,0,0,,57,FALSE,FALSE,,,FALSE,,,,,LIFE 314/402 Cycle 2 Rubric 2324 - 16671
706832,School of Life Sciences,RESIT LIFE314.0.3 (60%) - Cycle 2 Question 3,LIFE314-202324,,276477,2024-05-03 11:00:00+00:00,2024-08-23 12:00:00+00:00,2024-08-21 12:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67689/assignments/276477,0,FALSE,TRUE,TRUE,0,0,,57,FALSE,FALSE,,,FALSE,,,,,LIFE 314/402 Cycle 2 Rubric 2324 - 16671
706834,School of Life Sciences,RESIT LIFE116.2 (20%) Cycle 1 Poster,LIFE116-202324,,276510,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/74354/assignments/276510,0,FALSE,TRUE,TRUE,0,0,,32,FALSE,FALSE,,,FALSE,,,,,LIFE116 - Poster Rubric - 18704
706886,School of Life Sciences,RESIT Poster Submission - Marker 1,PHAR660-202324,,276927,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69645/assignments/276927,0,FALSE,TRUE,TRUE,0,0,,21,FALSE,FALSE,,,FALSE,,,,,PHAR660 Poster Rubric 2324 - 15863
706888,School of Life Sciences,RESIT Poster Submission - Marker 2,PHAR660-202324,,276928,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69645/assignments/276928,0,FALSE,TRUE,TRUE,0,0,,21,FALSE,FALSE,,,FALSE,,,,,PHAR660 Poster Rubric 2324 - 15863
706890,School of Life Sciences,RESIT Final Laboratory Report - Marker 1,PHAR660-202324,,276929,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69645/assignments/276929,0,FALSE,TRUE,TRUE,0,0,,21,FALSE,FALSE,,,FALSE,,,,,PHAR660 - Lab Report 2324 - 15864
706892,School of Life Sciences,RESIT Final Laboratory Report - Marker 2,PHAR660-202324,,276930,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69645/assignments/276930,0,FALSE,TRUE,TRUE,0,0,,21,FALSE,FALSE,,,FALSE,,,,,PHAR660 - Lab Report 2324 - 15864
706897,School of Life Sciences,RESIT Oral presentation slides - Marker 1 ,PHAR660-202324,,276931,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69645/assignments/276931,0,FALSE,TRUE,TRUE,0,0,,21,FALSE,FALSE,,,FALSE,,,,,PHAR660 Presentation rubric updated (1) - 15860
706899,School of Life Sciences,RESIT Oral presentation slides - Marker 2 ,PHAR660-202324,,276932,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69645/assignments/276932,0,FALSE,TRUE,TRUE,0,0,,21,FALSE,FALSE,,,FALSE,,,,,PHAR660 Presentation rubric updated (1) - 15860
706901,School of Life Sciences,RESIT Final library dissertation - Marker 1 ,PHAR660-202324,,276933,2024-08-05 11:00:00+00:00,2024-08-23 11:00:00+00:00,2024-08-21 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69645/assignments/276933,0,FALSE,TRUE,TRUE,0,0,,21,FALSE,FALSE,,,FALSE,,,,,SOLS  Extended Writing 2324 - 18146
